Cluster,RA,Dec
NGC 0104,6.023792,-72.081306
NGC 0288,13.188500,-26.582611
NGC 0362,15.809417,-70.848778
NGC 1261,48.067542,-55.216222
NGC 1851,78.528167,-40.046556
NGC 2298,102.247542,-36.005306
NGC 2808,138.012917,-64.863500
NGC 3201,154.403417,-46.412472
NGC 4590,189.866583,-26.744056
NGC 4833,194.891333,-70.876500
NGC 5024,198.230208,18.168167
NGC 5053,199.112875,17.700250
NGC 5272,205.548417,28.377278
NGC 5286,206.611708,-51.374250
NGC 5466,211.363708,28.534444
NGC 5897,229.351667,-21.010111
NGC 5904,229.638417,2.081028
NGC 5927,232.002875,-50.673028
NGC 5986,236.512500,-37.786417
NGC 6093,244.260042,-22.976083
NGC 6101,246.450500,-72.202194
NGC 6121,245.896750,-26.525750
NGC 6144,246.807750,-26.023500
NGC 6171,248.132750,-13.053778
NGC 6205,250.421833,36.459861
NGC 6218,251.809083,-1.948528
NGC 6254,254.287708,-4.100306
NGC 6304,258.634375,-29.462028
NGC 6341,259.280792,43.135944
NGC 6352,261.371292,-48.422167
NGC 6362,262.979125,-67.048333
NGC 6366,261.934333,-5.079861
NGC 6388,264.071792,-44.735500
NGC 6397,265.175375,-53.674333
NGC 6441,267.554417,-37.051444
NGC 6496,269.765333,-44.265944
NGC 6535,270.960458,-0.297639
NGC 6541,272.009833,-43.714889
NGC 6584,274.656667,-52.215778
NGC 6624,275.918792,-30.361028
NGC 6637,277.846250,-32.348083
NGC 6652,278.940125,-32.990722
NGC 6656,279.099750,-23.904750
NGC 6681,280.803167,-32.292111
NGC 6715,283.763875,-30.479861
NGC 6717,283.775167,-22.701472
NGC 6723,284.888125,-36.632250
NGC 6752,287.717125,-59.984556
NGC 6779,289.148208,30.183472
NGC 6791,290.220833,37.771667
NGC 6809,294.998792,-30.964750
NGC 6838,298.443708,18.779194
NGC 6934,308.547375,7.404472
NGC 6981,313.365417,-12.537306
NGC 7078,322.493042,12.167000
NGC 7089,323.362583,-0.823250
NGC 7099,325.092167,-23.179861